id	comment	character	yes	no	voice	scene
102001	옛날 옛적 깊은 산속에, 가난하지만 사이가 좋은 어머니와 오누이가 살고 있었어요.	NARR				102
103001	아버지는 일찍이 세상을 떠났지만, 어머니가 집에서 만든 떡을 여러 고개를 넘어 장에 나가 팔아가며 살고 있었답니다.	NARR				103
103002	이제 떡을 만들어볼까?	MOM				103
103003	떡 만들기 미니게임	OHNUI				103
104001			105001	104001		104
105001	어머니 떡이 너무 잘 만들어졌어요!	BOY				105
105002	너무 맛있을 것 같아요!	GIRL				105
105003	어머니는 힘들었지만 사이가 좋은 오누이를 보면서 힘을 얻어 열심히 떡을 만들어 팔았습니다.	NARR				105
106001	여느 때와 같이 오누이의 어머니가 팔고 남은 떡을 가지고 집으로 돌아오는 늦은 밤이었습니다.	NARR				106
106002	오늘은 숲이 더욱 어두운 것 같네	MOM				106
107001	숲이 많이 어두웠지만 익숙했기 때문에 어머니는 걸음을 재촉했습니다.\n그러던 중, 갑자기 한 나무 뒤에서 검은 형체가 보이기 시작했어요.\n빛나는 눈, 날카로운 송곳니.\n그 정체는 바로, 거대한 호랑이였습니다.	NARR	107002			107
107002	(호랑이 울음소리)	TIGER				
107003	헉 호랑이다!	MOM				107
108001	호랑이는 맛있는 떡 냄새를 풍기고 있는 어머니를 보면서 입맛을 다시며 말했습니다.	NARR				108
108002	떡 하나 주면 안 잡아먹지!	TIGER				108
109001	[떡 주는 미니게임]		110001			109
110001	(어머니 비명소리)	MOM				
110002	모든 떡을 다 주었지만 호랑이는 아직도 배가 고팠고, 결국에는 어머니까지 잡아먹고 말았습니다.	NARR				110
111001	으음 아직 배가 고프네.	TIGER				111
113001	집으로 한 번 가볼까?	TIGER				113
113002	오누이를 잡아먹기 위해 어머니의 옷을 훔쳐 입은 호랑이는	NARR				113
114001	어머니처럼 변장을 하고 오누이의 집을 향해 걸어갔습니다.	NARR				114
201001	오누이가 집에서 장난감을 가지고 노는 도중, 밖에서 들리는 발자국 소리에 여동생은 환하게 웃으며 말하였어요.	NARR				201
201002	엄마가 돌아오셨나 봐!	GIRL				201
201003	여동생이 기쁜 마음에 문을 열려고 하자, 평소와 다른 느낌이 든 오빠는 그녀의 손을 잡아 말렸어요.	NARR				201
201004	정말로 우리 어머니가 맞나요?	BOY				201
201005	그때, 문 너머에서는 굵직한 목소리가 울려 퍼졌어요.	NARR				201
201006	얘들아, 엄마야. 문 좀 열어줘.	TIGER				201
201007	목소리가 이상하다고 생각한 오빠는 호랑이에게 말했어요.					
201008	그럼 문풍지 사이로 손 좀 보여주세요.	BOY				201
202001	문풍지 아래로 보이는 것은 복슬복슬한 털과 두툼한 젤리 같은 손이었어요. \n호랑이의 손이 분명했지만, 그저 빨리 사랑하는 어머니와 재회하고 싶은 강한 기대감과 바람에 \n'고된 일로 인해 어머니의 손이 부어' 두툼해졌다고 생각한 오빠는 마음을 놓고 문을 열었어요.	NARR				202
202002	어머니, 고생하셨어요. 보고 싶었어요!	BOY				202
203001	그러자, 눈앞에는 어머니의 옷을 입은 거대한 호랑이가 서 있었어요.	NARR				203
203002	어흥	TIGER				
203003	침을 뚝뚝 흘리며 오누이를 잡아먹으려는 호랑이가 눈앞에 보이자 벌벌 떨며 주변을 두리번거리기 시작하였어요.	NARR				
204001	오빠, 저 호랑이가 배가 고파 우리를 노리는 것 같아… 어라! 저기 엄마가 준비해 둔 떡 소쿠리가 보여! 엄마가 말씀하셨었지, 호랑이가 특별히 좋아하는 떡이 있다고… 그게 뭐더라?	GIRL				204
204002	[호랑이에게 줄 떡을 고르는 미니게임]\n호랑이에게 줄 떡을 고르는 결정을 내려야 해요. 선택한 떡에 따라 게임의 결과가 달라지며, 다양한 엔딩을 경험할 수 있어요.	NARR				204
204003	선택 1. 팥떡: 전통적인 달콤한 팥이 가득한 떡.\n선택 2. 쑥떡: 씁쓸한 쑥 향기가 풍기는 떡.	NARR	205001	219001		204
205001	여기 … 네가 좋아하는 떡이야 !!!	OHNUI				205
205002	오누이는 어머니가 열심히 만든 맛있는 떡들을 호랑이 앞에 조심스럽게 놓았어요.	NARR				205
206001	호랑이는 배가 고팠는지, 놓인 떡들을 보자마자 기뻐하며 허겁지겁 먹기 시작했어요.	NARR				206
206002	달콤한 팥떡을 좋아하는 호랑이는 먹어도 먹어도 끝이 보이지 않는 떡에 점점 더 욕심을 내며 계속해서 먹었어요. 호랑이의 배는 서서히 불러왔어요.	NARR				206
207001	시간이 흘렀고…마침내 호랑이는 쿨쿨 잠에 빠져들었습니다.	NARR				207
207002	호랑이의 숨소리가 조용한 방안을 메우며 고요하게 울려 퍼지는 지금, 오누이에게는 기회였어요.	NARR				207
208001	자는 호랑이의 배를 가르자, 그 안에서는 오누이가 애타게 찾던 엄마가 들어 있었어요.	NARR				208
208002	엄마!!!!	OHNUI				208
208003	오누이와 어머니는 잠시 상봉의 기쁨을 나누었지만, 곧 그들은 이 호랑이를 어떻게 처리할지에 대해 고민하였어요.	NARR				208
209001	호랑이의 배에 돌을 채워 넣어서 배가 부르다고 느끼게 하자!	BOY				209
210001	오누이와 어머니는 호랑이가 잠든 사이에 집 주변을 돌아다니며 돌멩이를 모았고, 호랑이의 큰 배에 가득 채우는 일을 해냈어요.	NARR				210
211001	어머니는 솜씨 좋게 호랑이의 배를 꿰매었어요. 모든 일을 끝낸 후, 오누이와 어머니는 손을 잡고 조용히 집을 떠나 먼 곳으로 도망쳤어요.	NARR				211
212001	배가 갈린 줄도 모르고 깊이 잠들어 있던 호랑이는, 오누이와 어머니가 떠난 지 몇 시간이 지난 후에야 잠에서 깨어났어요.	NARR				212
213001	흐아암…	TIGER				213
213002	떡을 많이 먹었더니 목이 마르네!	TIGER				213
214001	어딘가 이상함을 느끼면서도 배가 부르고 목이 마른 호랑이는 갈증을 해결하기 위해 우물을 찾아 집을 나섰어요.	NARR				214
215001	한참을 헤매던 호랑이는 걷기 힘들 정도로 지쳐갈 무렵, 우물을 발견했어요. 목마름을 해소하기 위해 우물가로 다가갔어요.	NARR				215
215002	(헉헉)	TIGER				
216001	호랑이는 기쁜 마음에 허겁지겁 우물에다 몸을 기울였어요. 그 순간! 몸속 가득한 돌멩이들의 무게 때문에 몸이 앞으로 쏠리며 균형을 잃었어요.	NARR				216
216002	어어어..!!! 으아아아아~~악	TIGER				216
216003	그대로 호랑이는 우물 안으로 풍덩! 빠져버렸어요.	NARR				216
216004	으아악!!! 살려줘 살…ㄹ…주…ㅓ….	TIGER				216
217001	호랑이가 잠든 사이 도망간 오누이와 어머니는 새로운 마을에서 떡을 팔며 오순도순 행복하게 살고 있다는 이야기가 전해오네요.	NARR				217
217002	(하하하 호호 웃는 행복한 소리)	ALL				
218001	여기 … 네가 좋아하는 떡이야!!!	OHNUI				218
218002	오누이는 어머니가 열심히 만든 맛있는 떡들을 호랑이 앞에 조심스럽게 놓았어요.	NARR				219
219001	호랑이는 배가 고팠는지, 놓인 떡들을 보자마자 기뻐하며 허겁지겁 먹기 시작했어요.	NARR				220
220001	퉤!!! 이게 무슨 맛이야?!	TIGER				221
220002	씁쓸한 쑥 향이 풍기는 쑥떡을 싫어하는 호랑이였어요.	NARR				221
221001	(화난 호랑이의 으르렁 소리)	TIGER				
221002	오히려 더 화가 난 호랑이를 본	NARR				222
222001	오빠는 여동생의 손을 잡고 허겁지겁 뒷문으로 도망쳐 나왔어요.	NARR				222
222002	으아아아악!!!!	OHNUI				222
301001	뒷문으로 도망쳐 나온 오누이는 어디로 도망쳐야 할지 주변을 살피다 우뚝 솟은 나무 한 그루를 발견하였어요.	NARR				301
